iter	Passed	Remaining
783	1944	535
784	1946	533
785	1948	530
786	1951	528
787	1953	525
788	1955	523
789	1957	520
790	1960	518
791	1963	515
792	1965	513
793	1967	510
794	1970	508
795	1972	505
796	1974	503
797	1977	500
798	1979	497
799	1981	495
800	1983	492
801	1986	490
802	1988	487
803	1990	485
804	1993	482
805	1995	480
806	1998	478
807	2001	475
808	2003	472
809	2005	470
810	2007	467
811	2010	465
812	2013	463
813	2015	460
814	2017	458
815	2019	455
816	2022	452
817	2024	450
818	2026	447
819	2029	445
820	2032	443
821	2034	440
822	2036	438
823	2038	435
824	2041	433
825	2043	430
826	2046	428
827	2048	425
828	2050	423
829	2053	420
830	2055	418
831	2058	415
832	2060	413
833	2063	410
834	2065	408
835	2068	405
836	2070	403
837	2072	400
838	2075	398
839	2077	395
840	2080	393
841	2082	390
842	2084	388
843	2087	385
844	2089	383
845	2092	380
846	2094	378
847	2096	375
848	2098	373
849	2101	370
850	2103	368
851	2106	365
852	2108	363
853	2110	360
854	2113	358
855	2115	355
856	2117	353
857	2120	350
858	2122	348
859	2124	345
860	2127	343
861	2130	341
862	2132	338
863	2134	336
864	2137	333
865	2139	331
866	2142	328
867	2144	326
868	2147	323
869	2149	321
870	2152	318
871	2154	316
872	2156	313
873	2158	311
874	2162	308
875	2164	306
876	2166	303
877	2169	301
878	2171	298
879	2174	296
880	2177	294
881	2179	291
882	2182	289
883	2184	286
884	2186	284
885	2188	281
886	2191	279
887	2193	276
888	2196	274
889	2198	271
890	2200	269
891	2203	266
892	2206	264
893	2208	261
894	2210	259
895	2213	256
896	2215	254
897	2218	252
898	2221	249
899	2223	247
900	2225	244
901	2227	242
902	2230	239
903	2234	237
904	2236	234
905	2239	232
906	2241	229
907	2243	227
908	2245	224
909	2248	222
910	2250	219
911	2252	217
912	2254	214
913	2257	212
914	2261	210
915	2264	207
916	2266	205
917	2269	202
918	2271	200
919	2273	197
920	2276	195
921	2279	192
922	2281	190
923	2283	187
924	2285	185
925	2287	182
926	2290	180
927	2292	177
928	2295	175
929	2297	172
930	2299	170
931	2301	167
932	2304	165
933	2306	163
934	2309	160
935	2311	158
936	2314	155
937	2316	153
938	2319	150
939	2321	148
940	2323	145
941	2326	143
942	2328	140
943	2330	138
944	2333	135
945	2335	133
946	2337	130
947	2339	128
948	2342	125
949	2344	123
950	2347	120
951	2350	118
952	2352	116
953	2354	113
954	2357	111
955	2359	108
956	2361	106
957	2364	103
958	2367	101
959	2369	98
960	2371	96
961	2373	93
962	2375	91
963	2378	88
964	2380	86
965	2382	83
966	2384	81
967	2386	78
968	2389	76
969	2391	73
970	2394	71
971	2396	69
972	2398	66
973	2400	64
974	2403	61
975	2405	59
976	2407	56
977	2410	54
978	2412	51
979	2415	49
980	2417	46
981	2419	44
982	2422	41
983	2425	39
984	2428	36
985	2430	34
986	2432	32
987	2435	29
988	2438	27
989	2440	24
990	2442	22
991	2444	19
992	2446	17
993	2449	14
994	2451	12
995	2454	9
996	2456	7
997	2458	4
998	2460	2
999	2463	0
